5.11,670.97,139.28,-13.24
5.12,672.94,139.15,-13.73
5.13,674.46,139.01,-13.24
5.14,675.18,138.88,-13.73
5.14,675.18,138.88,-13.73
5.15,677.06,138.74,-13.73
5.16,678.49,138.61,-12.75
5.17,679.21,138.48,-12.26
5.18,680.73,138.35,-13.73
5.19,682.79,138.21,-13.73
5.2,684.4,138.08,-13.73
5.21,685.39,137.94,-13.73
5.22,687,137.8,-13.73
5.23,688.34,137.67,-13.73
5.24,690.85,137.53,-13.73
5.25,690.94,137.39,-14.22
5.26,692.11,137.26,-12.75
5.27,693.63,137.12,-13.73
5.28,695.52,136.99,-13.24
5.29,696.23,136.85,-14.22
5.3,696.5,136.72,-13.24
5.31,698.75,136.58,-13.24
5.32,699.28,136.45,-12.75
5.33,700.99,136.32,-13.24
5.34,702.16,136.19,-12.75
5.35,703.77,136.06,-12.75
5.36,704.76,135.93,-13.24
5.37,706.2,135.79,-14.22
5.38,707.45,135.66,-12.75
5.39,708.71,135.52,-14.22
5.4,710.42,135.39,-13.73
5.41,711.76,135.25,-13.73
5.42,713.11,135.11,-13.24
5.43,714.73,134.98,-13.73
5.44,716.08,134.84,-13.73
5.45,717.51,134.71,-12.75
5.46,718.59,134.57,-13.73
5.46,718.59,134.57,-13.73
5.47,720.39,134.43,-14.22
5.48,721.02,134.3,-13.73
5.49,722.37,134.16,-14.22
5.5,724.71,134.02,-13.73
5.51,725.79,133.88,-13.24
5.52,727.23,133.75,-13.73
5.53,728.4,133.61,-14.22
5.54,729.3,133.47,-13.73
5.55,731.82,133.33,-13.73
5.56,732.81,133.2,-13.73
5.57,734.07,133.06,-13.73
5.58,735.33,132.93,-12.26
5.59,736.5,132.79,-13.73
5.6,737.94,132.66,-13.73
5.61,739.47,132.53,-13.24
5.62,740.82,132.39,-13.24
5.63,741.72,132.25,-13.73
5.64,744.06,132.12,-13.73
5.65,744.6,131.98,-14.22
5.66,746.14,131.84,-14.22
5.67,747.49,131.7,-12.75
5.68,748.66,131.57,-14.22
5.69,750.01,131.43,-13.73
5.7,750.91,131.29,-13.73
5.71,752.18,131.15,-14.22
5.72,752.63,131.01,-13.73
5.73,754.88,130.88,-13.73
5.74,756.24,130.74,-13.24
5.75,758.22,130.6,-14.71
5.76,758.94,130.46,-13.73
5.77,760.03,130.32,-13.73
5.78,762.19,130.18,-13.24
5.78,762.19,130.18,-13.24
5.79,762.73,130.04,-14.22
5.8,763.64,129.9,-14.22
5.81,765.53,129.76,-14.22
5.82,766.17,129.62,-14.71
5.83,767.07,129.48,-13.73
5.84,768.97,129.34,-13.24
5.85,770.23,129.21,-14.22
5.86,772.04,129.07,-13.24
5.87,773.93,128.93,-13.24
5.88,774.75,128.79,-15.2
5.89,776.74,128.64,-14.71
5.9,777.1,128.5,-14.71
5.91,778.73,128.36,-13.73
5.92,780.08,128.22,-13.73
5.93,780.99,128.08,-13.73
5.94,782.8,127.94,-12.75
5.95,783.79,127.81,-14.71
5.96,785.42,127.67,-13.73
5.97,786.96,127.53,-13.73
5.98,787.77,127.39,-14.22
5.99,789.49,127.25,-13.73
6,790.31,127.12,-13.24
6.01,791.3,126.98,-13.73
6.02,792.75,126.84,-13.73
6.03,794.56,126.71,-13.73
6.04,796.01,126.57,-13.73
6.05,797.28,126.43,-13.24
6.06,798.82,126.3,-13.24
6.07,800,126.16,-14.71
6.08,801.99,126.02,-13.24
6.09,803.08,125.89,-13.73
6.1,804.07,125.75,-14.22
6.1,804.07,125.75,-14.22
6.11,805.16,125.61,-13.24
6.12,806.79,125.48,-13.73
6.13,808.52,125.34,-13.24
6.14,810.15,125.2,-14.22
6.15,810.78,125.07,-13.73
6.16,812.42,124.93,-13.24
6.17,813.78,124.8,-13.73
6.18,815.23,124.66,-12.75
6.19,816.32,124.53,-13.73
6.2,817.5,124.4,-12.75
6.21,818.32,124.26,-13.73
6.22,820.04,124.13,-13.73
6.23,820.77,123.99,-13.24
6.24,822.22,123.85,-14.22
6.25,823.58,123.72,-14.22
6.26,825.4,123.58,-12.75
6.27,826.85,123.45,-13.73
6.28,827.94,123.31,-13.24
6.29,829.31,123.18,-13.24
6.3,830.58,123.04,-13.73
6.31,831.76,122.91,-13.24
6.32,832.58,122.77,-13.73
6.33,833.85,122.64,-13.24
6.34,835.3,122.51,-13.24
6.35,837.21,122.37,-13.73
6.36,837.76,122.23,-13.73
6.37,839.85,122.09,-13.73
6.38,840.76,121.96,-14.71
6.39,841.94,121.82,-13.73
6.4,842.76,121.68,-13.73
6.41,844.58,121.54,-12.75
6.42,845.49,121.41,-14.22
6.42,845.49,121.41,-14.22
6.43,846.49,121.27,-14.22
6.44,847.4,121.13,-13.24
6.45,849.13,121,-13.24
6.46,849.95,120.86,-12.75
6.47,851.05,120.73,-13.73
6.48,852.5,120.59,-14.22
6.49,853.87,120.45,-14.22
6.5,855.51,120.31,-14.22
6.51,856.6,120.18,-13.73
6.52,857.24,120.04,-12.75
6.53,858.79,119.91,-12.75
6.54,859.52,119.78,-13.24
6.55,860.98,119.64,-13.73
6.56,862.44,119.5,-14.22
6.57,863.16,119.36,-14.22
6.58,864.9,119.23,-14.22
6.59,866.08,119.09,-13.24
6.6,866.9,118.95,-13.24
6.61,868.45,118.82,-14.22
6.62,869.46,118.68,-13.24
6.63,871.01,118.55,-13.24
6.64,872.1,118.41,-13.24
6.65,873.84,118.28,-13.73
6.66,875.12,118.15,-12.75
6.67,875.94,118.01,-13.73
